item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q15025,Audrey Tang,Q11078943,Minister Without Portfolio,2016-10-01,2022-08-27,,Q15025-54922ff8-4b20-3967-42df-b1155e9e4f3e
Q15025,Audrey Tang,Q113630396,Digital Affairs,2022-08-27,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q15025-4c468162-4c8d-1025-15f3-31140ec8d542
Q16143196,Chang Tzi-chin,Q20789094,Environmental Protection Administration,2019-01,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q16143196-882C9273-489E-4F0E-9F6D-4685418FF124
Q60431375,Chen Chi-chung,Q114895338,Council of Agriculture,2019-01-14,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q60431375-26CAE934-8F1B-454F-9DA5-20E4F9B5E0D6
Q5090717,Chen Chi-mai,Q13644819,Vice Premier,2019-01-14,2020-06-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q5090717-85e560bd-46cb-b049-43ee-267089ef1315
Q15915252,Chen Liang-gee,Q114894927,Science and Technology,2017-02-08,2020-05-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q15915252-20300CF5-ECDE-4520-B1A4-B96D64CDE25E
Q24247649,Chen Mei-ling,Q114895586,National Development Council,2017-09-08,2020-05-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q24247649-5702AF65-84E4-46E0-B935-C3188ADFCA3E
Q13408438,Chen Ming-tong,Q114895384,Mainland Affairs Council,2018-03-19,2021-02-22,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q13408438-718B42FB-D546-40AD-84FB-1D6B6E950CE4
Q28655382,Chen Shih-chung,Q114894860,Health and Welfare,2017-02-08,2022-07-18,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q28655382-058AFC82-1F18-4517-93D1-D496D483A4ED
Q85133282,Chen Yaw-shyang,Q114895780,National Communications Commission,2020-07-10,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q85133282-bf99e590-43bb-6b2f-0910-71013f8e2a9b
Q8351107,Cheng Li-chun,Q114894988,Culture,2016-05-20,2020-05-20,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8351107-650F1A98-74D1-406E-A2C3-D1A0A7D76A0E
Q19825815,Chiu Kuo-cheng,Q114895418,Veterans Affairs Council,2018-02-26,2019-07-23,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q19825815-83E1ADD6-EFD2-4000-ABA6-260E9BBECAFA
Q19825815,Chiu Kuo-cheng,Q21449248,National Defense,2021-02-23,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q19825815-4b726bd2-482c-edbf-e7b7-7b883ef919c5
Q8357028,Chiu Tai-san,Q114895384,Mainland Affairs Council,2021-02-23,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8357028-190BC4BA-C5B8-4839-B207-348F8B49AF4B
Q28416486,Chou Mei-wu,Q114895405,Minister of Ocean Affairs,2022-09-01,,,Q28416486-068CACC8-E0D5-40F6-9419-D6DA8EC32998
Q24053403,Chu Tzer-ming,Q114895411,"Directorate-General of Budget, Accounting and Statistics",2016-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q24053403-0034934A-3F6D-485D-BAA7-64AE29381396
Q23894469,Feng Shih-kuan,Q114895418,Veterans Affairs Council,2019-08-05,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q23894469-EF627A79-82D3-4B5D-B3F4-36A99F0C3AF7
Q28416621,Hsieh Shou-shing,Q114895432,Atomic Energy Council,2016-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q28416621-B8ADE35F-8FFA-42C4-969D-D760E182A458
Q8348841,Hsu Kuo-yung,Q108022269,Interior,2018-07-16,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8348841-D7060F76-87BB-4F87-B112-9332A9202BEB
Q50170749,Hsu Ming-chun,Q114894866,Labor,2018-02-26,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q50170749-F62A2C12-3AF7-418B-A893-9461588DDBC1
Q40272747,Hsueh Jui-yuan,Q114894860,Health and Welfare,2022-07-18,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q40272747-440FE296-8B43-44BC-BB11-3CFE79A3E4B4
Q36618272,Huang Mei-ying,Q114895813,Fair Trade Commission,2017-02-01,2021-02-01,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q36618272-3DB98B7D-8608-4D4A-AA84-1DDAB3F2ABBC
Q21934105,Huang Tien-Mu,Q114895801,Financial Supervisory Commission,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q21934105-E0A72B7C-9649-4545-8F98-39E6F90C03BB
Q8350030,Icyang Parod,Q60595885,Council of Indigenous Peoples,2016-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8350030-c105a01e-4735-59c0-c2a8-edcfbadc35c8
Q16239908,Jay N. Shih,Q114895656,Directorate-General of Personnel Administration,2016-05-20,2022-02-11,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q16239908-A4F85BE5-AE86-4E07-BBCC-366439793E6F
Q6288088,Joseph Wu,Q2482650,Foreign Affairs,2018-02-26,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q6288088-8837156E-813B-4F46-A2F5-2D432F3EB6F0
Q27735496,Kung Ming-hsin,Q114895586,National Development Council,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q27735496-A4129643-EEC7-4529-8D07-3F0990ECE1F3
Q8349734,Lee Chin-yung,Q114895807,Central Election Commission,2019-02-25,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8349734-97F230FA-4D14-4A28-96CF-47C129FEA34D
Q24238270,Lee Chung-wei,Q114895405,Ocean Affairs Council,2019-02-15,2022-09-01,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q24238270-AE528AE9-6BF2-4877-BDDC-2C69F5F991FC
Q9206928,Lee Yung-te,Q114894998,Hakka Affairs Council,2016-05-20,2020-05-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q9206928-6202958B-FCE3-4989-8422-FF1AE2DCCE80
Q9206928,Lee Yung-te,Q114894988,Culture,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q9206928-EF3942C3-CE81-4FA7-92C7-21A506E5F83B
Q38876935,Li Meng-yen,Q15902915,Secretary-General,2019-01-14,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q38876935-46D7499E-5EBB-4F5B-BF7E-EB9C6445612F
Q6550004,Lin Chia-lung,Q10876310,Transportation and Communications,2019-01-14,2021-04-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q6550004-554923F8-F2FC-4E2F-89B8-16AF94D2DC0B
Q114895959,May Lee,Q114895813,Chairperson of the Fair Trade Commission,2021-02-01,,,Q114895959-59A9B8A5-97A2-4BFC-9264-B16D46964CD9
Q23954823,Pan Wen-chung,Q114894853,Education,2019-01-14,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q23954823-10491F09-0780-46C7-905B-4F9AB6FD0E0A
Q16150359,Shen Jong-chin,Q114894847,Economic Affairs,2017-09-08,2020-06-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q16150359-934F96DF-45E1-4F27-B637-CDCF9CD96482
Q16150359,Shen Jong-chin,Q13644819,Vice Premier,2020-06-19,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q16150359-61eca660-4d57-5e9c-5948-cae40b1daf3f
Q27678861,Su Chun-jung,Q114895656,Minister of Personnel Administration,2022-02-11,,,Q27678861-3c38e4b2-41e3-ebe6-3feb-aabadacc42af
Q9340026,Su Jain-rong,Q114894856,Finance,2018-07-16,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q9340026-9BA3C064-60EA-4777-BF6B-804CD0B7C692
Q551904,Su Tseng-chang,Q702650,Premier,2019-01-14,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q551904-dd5833ac-4e09-4e22-0885-e0bd801aa8a3
Q55505798,Tsai Ching-hsiang,Q106361604,Justice,2018-07-16,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q55505798-6844B6A3-DF87-4061-B814-0DE800B441B1
Q9322496,Tung Chen-yuan,Q114895676,Overseas Community Affairs Council,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q9322496-134930a8-4d28-819d-af2b-7a30dfc8231e
Q24851744,Wang Kwo-tsai,Q10876310,Transportation and Communications,2021-04-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q24851744-F5ACC0C3-9987-4094-8125-610852411FB3
Q15918515,Wang Mei-hua,Q114894847,Economic Affairs,2020-06-19,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q15918515-529CA06A-4D52-4BAF-8DE2-64BBEC9D40C6
Q15909081,Wellington Koo,Q114895801,Financial Supervisory Commission,2017-09-08,2020-05-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q15909081-96DB1B8F-9C83-4804-A82F-C598F58B66EE
Q24053404,Wu Hsin-hsing,Q114895676,Overseas Community Affairs Council,2016-05-20,2020-05-19,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q24053404-ED4C4301-88CC-4684-96C4-F118FCD1DE3A
Q9055323,Wu Mi-cha,Q114895828,National Palace Museum,2019-02-15,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q9055323-1F44D94D-EA55-48DC-BC67-7C1228BB8503
Q26265161,Wu Tsung-tsong,Q11078943,Minister Without Portfolio,2016-05-20,2020-05-19,,Q26265161-AD056505-92A5-4BAA-B86D-32AFE13C22BC
Q26265161,Wu Tsung-tsong,Q114894927,Science and Technology,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q26265161-399B88F5-3A98-432D-967E-CFF10EF00D25
Q29952844,Wu Tze-cheng,Q114895726,Public Construction Commission,2017-11-23,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q29952844-895BDE02-29DB-4FE1-B464-D447569111BD
Q11963553,Yang Chin-long,Q114895734,Central Bank,2018-02-26,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q11963553-83E33AE1-15D9-492C-AB42-73A2277AEFE4
Q15914789,Yen Teh-fa,Q21449248,National Defense,2018-02-26,2021-02-23,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q15914789-0b8ff875-4faa-acfd-85dc-58de210d12f4
Q8350699,Yiong Con-ziin,Q114894998,Hakka Affairs Council,2020-05-20,,https://en.wikipedia.org/wiki/Second_Su_cabinet,Q8350699-2387BFA8-2266-4737-9AAC-B613C5DD6EB9
